-1.3855 -1.0364 -2.2484 2.8405
-150.1643 5.3638 96.0377 178.3294
-0.1061 -0.311 0.1248 1.0019
-1.0051 -4.0987 -1.599 4.6094
-1.1185 0.777 3.5843 3.8369
0.2705 0.1538 0.6206 0.7081
-0.6341 -0.6369 -13.533 13.5636
-2.5545 -0.2465 51.7575 51.8213
-2.5747 0.1497 45.0615 45.1355
-0.2773 -0.2659 -1.7684 1.815
-0.1422 -1.401 130.3377 130.3454
6.1106 0.8213 85.3319 85.5626
3.4208 0.6378 38.7963 38.9702
-1.7773 -2.2199 12.7476 13.0617
0.5628 0.6415 -0.9485 1.2835
1.813 -1.0441 0.8483 2.262
0.2472 -0.3938 -193.9413 193.9425
-1.0579 0.2447 -659.1188 659.1199
0.2159 -0.5015 -76.5771 76.5848
0.2911 -0.4234 -120.0756 120.0804
-3.9154 -0.0627 35.2826 35.5117
-2.7422 0.0593 13.5738 13.88
-0.9202 -0.0646 3.1005 3.2378
0.4704 -1.6696 -0.0388 1.7406
0.1123 -0.594 0.2199 0.6583
-0.4388 -0.9807 0.3624 1.1424
-0.0995 -3.0027 1.4294 3.33
0.1235 -1.5055 1.9118 2.4406
-0.5596 -0.0272 -0.0354 0.5785
-0.4106 -0.9368 -3.8386 3.975
-0.9591 -0.9288 -1.6165 2.1012
0.7266 -0.9127 -3.2064 3.4149
0.9885 -0.2646 -0.4629 1.2268
0.3006 -0.0728 0.2661 0.4312
1.7756 1.6332 0.2031 2.4251
1.9976 1.2373 1.8759 3.01
0.4489 0.1385 0.6799 0.8382
0.2979 0.3334 1.2161 1.3866
1.3029 0.9513 3.2393 3.8093
1.9023 0.1527 4.7735 5.1427
1.2331 -0.3914 2.9998 3.2699
0.3216 0.1314 0.786 0.8706
0.9224 0.2179 1.84 2.0745
0.4245 -0.3331 0.1329 0.573
0.8007 -0.7575 -0.0801 1.114
0.8563 0.3113 -0.0337 0.9224
-0.0355 -0.4743 0.5116 0.7124
0.8636 1.4108 6.1731 6.4596
2.2293 3.5963 24.2998 24.6833
2.161 1.3211 28.6238 28.751
1.8047 1.8001 41.0056 41.085
16.7047 6.7818 288.2564 288.8212
15.9552 7.6564 279.8842 280.4448
26.6926 11.8189 454.2947 455.2317
0.309 -0.1348 -10.7068 10.7531
0.5258 0.4287 -1.841 1.967
0.1113 0.3313 0.7456 0.8353
-0.0191 2.5856 5.7486 6.3049
-0.2487 0.5004 1.8835 2.0257
-0.2656 0.8222 0.6358 1.0819
-0.1434 0.5925 -0.1141 0.6357
-0.5552 0.1893 0.5116 0.7908
-0.7478 0.7975 0.6139 1.5661
-1.3762 2.4896 -0.7791 3.0954
-0.2676 0.2746 -0.2576 0.4825
3.3059 1.9036 39.9457 40.1451
0.6871 0.5328 10.6486 10.685
0.4838 -0.0019 8.7302 8.7447
1.0278 0.7911 16.5654 16.6167
-1.2341 0.4788 23.7698 23.8251
0.8397 -0.0515 10.6651 10.6991
0.3772 -1.3622 22.3389 22.4033
-0.0539 -0.2989 24.5514 24.5712
0.6229 -0.2078 8.7878 8.8135
0.3357 1.7427 75.1447 75.1715
0.0901 1.4588 33.9141 33.9586
0.541 0.3203 32.0714 32.0779
1.3516 1.6506 20.7817 20.8914
0.5428 -0.0949 6.0894 6.1158
0.7607 -0.0682 10.2032 10.2327
-0.8564 -1.9964 21.4149 21.5253
-1.3102 -0.1508 98.9063 98.9152
-75.7754 2.9107 47.9892 89.7406
-12.0819 1.0187 8.1054 14.5852
-2.0436 0.0705 1.4662 2.52
-135.3282 9.2416 81.1668 158.0762
-42.9576 1.6996 25.0987 49.7903
-87.0419 5.1276 48.8857 99.9664
